Year;abstract
2018;the purpose of this study is to uncover factors that affect participation in online classes from the student's perspective. interest in the online environment has been increasing and renders the opinions of students participating in online courses more important since the opinions of students in this environment are closely related to interaction. it has been seen that lack of interaction creates a sense of loneliness which causes students to drop their classes. for this reason a qualitative study has been conducted about student experiences on the use of methods that increase interaction in an online environment and participation. participants were given tasks based on collaboration special attention was paid to make sure that the setting in which the participants found themselves was in accordance with the principles of the community of inquiry computerized equipment was used to facilitate online interactions. 15 students worked based on collaboration and 15 students worked individually. data was collected with interviews and reflection reports. open axial and selective coding was made by using the theorizing method. at the end of the study it was determined that participation in online environment was affected in both groups by factors such as personal approaches changing variables mediated attributes.
2018;in this paper the determinants of the intention to use online learning management system (lms) among students in one of universities in the kyrgyz republic were studied using quantitative and qualitative analysis. a total of 541 responses from students enrolled in online courses during the fall and spring semesters 2016-2017 were used to examine students attitude toward online education. in addition interviews with six instructors were conducted. results showed that success of students in e-courses depend on year of education and the academic major of students. factors defined in the scope of this work namely technical characteristics of lms ease of use feedback options of lms and advantages of lms use were also found to be significant for students in their success in online courses. in interviews with instructors three main points were highlighted namely problem with students' perception of online courses lack of online education experience among instructors and administrative issues.
2018;the importance of distance education has increased due to its many advantages. at the same time apart from university education distance education also allows oneself to develop in different subjects. this work examines a distance education study conducted at a university in turkey. the department of industrial engineering was selected for this study. e-learning applications for industrial engineering education are seen to be extremely efficient especially since they do not require laboratory applications. the faculty of engineering which aims to obtain a higher quality education of students who receive industrial engineering training through e-learning has evaluated related software companies in this regard. the infrastructure of the program has been determined as online and recorded broadcasting. web-based training has been carried out by creating wide communication networks. this study explores in detail the necessary requirements for the successful execution of distance education in industrial engineering. in addition it has benefited from the work undertaken in the past in order to determine the assessment factors. these assessment factors consist of five main factors and twenty-four sub-factors. these assessment factors have been established in line with the opinions of the people who constitute the infrastructure of this study. these past evaluations were usually made subjectively. subjective evaluations often cause misinterpretation of results. this study applies both analytic hierarchy process (ahp) and step-wise weight assessment ratio analysis (swara) methods both of which are multiple criteria decision-making methods. consistency ratios are calculated to determine whether comparisons are consistent for the ahp method. in addition the ahp method is discussed together with fuzzy logic to make the study more realistic. due to the ease of application and common use triangular fuzzy numbers are preferred as a fuzzy method. the results are validated by the swara method which is used to weight the criteria. the purpose of this study is to weight the assessment factors affecting e-learning technology by using fuzzy ahp and swara methods. thus the study illustrates that multi-criteria decision-making methods can be used in e-learning applications to evaluate many factors.
2018;from the beginning of the e-learning technology era many concerns arose regarding the use of e-learning in everyday academic processes. thus in recent years a number of studies were conducted on e-learning acceptance mostly with the use of unified theory of acceptance and use of technology (utaut) model. current study investigates the determinants of acceptance of academic e-learning technologies with the use of proposed modified utaut model. the basic utaut model was supplemented by the examined new determinants: system interactivity and the area of scientific expertise. therefore the paper contributes to utaut theory applied in e-learning by utilising empirical research with a modified utaut model including these two new variables. this study confirmed the hypotheses related to the effects of performance expectancy effort expectancy and system interactivity on behavioural intention to use e-learning technologies and also stated that the area of scientific expertise does not have a direct impact on the intention to use e-learning technologies. the research model has been tested in an academic environment in turkey.
2018;professional development (pd) is critical for instructors who are adopting new roles and competencies in online teaching environments. this mixed-method study examines an online faculty development programme in turkey reflecting upon participants' expectations readiness and satisfaction. the findings indicate a significant relationship between individual readiness and satisfaction and reveal that readiness positively predicts satisfaction. participants' reflections demonstrate that to enhance their traditional roles they need competencies for online learning environments and active practice in real-life applications. pd is important for introducing the new pedagogies required and for integration of technology while the adoption of new roles is key to developing competent online instructors who have a positive attitude to online learning.
2018;since the first offering of a massive open online course (mooc) in 2008 the body of literature on this new phenomenon of open learning has grown tremendously. in this regard this article intends to identify and map patterns in research on moocs by reviewing 362 empirical articles published in peer-reviewed journals from 2008 to 2015. for the purposes of this study a text-mining tool was used to analyse the content of the published research journal articles and to reveal the major themes and concepts covered in the publications. the findings reveal that the mooc literature generally focuses on four lines of research: (a) the potential and challenges of moocs for universities (b) mooc platforms (c) learners and content in moocs and (d) the quality of moocs and instructional design issues. prospective researchers may use these results to gain an overview of this emerging field as well as to explore potential research directions.
2018;previous studies have described many scales for measuring self-regulation however no scale has been developed specifically for self-paced open and distance learning environments. therefore the aim of this study is to develop a scale for determining the self-regulated learning skills of distance learners in self-paced open and distance learning courses. participants of this study were 1279 distance learners who were part of self-paced distance learning courses in a public open and distance teaching university in turkey. the items of the scale were prepared based on the literature review expert opinions and learner questionnaires. the items of the scale were reduced from 62 to 30 after expert opinions and validity and reliability analyses. for the validity of the scale the exploratory and confirmatory factor analyses were conducted. the total variance was found to be 58.204%. the cronbach's alpha coefficient calculated for the reliability of the scale was found to be.937. five factors composed of goal setting help seeking self-study strategies managing physical environment and effort regulation emerged in the 30-item scale. thus it was concluded that the scale has a high validity and reliability. this scale is intended to help teachers and instructional designers in developing strategies that will enable learners to either enhance their existing self-regulated learning skills or help them to acquire new skills in self-paced open and distance learning environments.
2018;although the number of online academic degree programs offered by universities in turkey has become increasingly significant in recent years the current lack of understanding of administrators' motives that contribute to initiating these programs suggests there is much to be learned in this field. this study aimed to investigate administrators' perceptions of motives for offering online academic degree programs in universities in turkey in terms of online associate degree programs online master's degree programs online bachelor's degree completion programs and online bachelor's degree programs. a qualitative research method was employed for this study. semi-structured interviews were conducted with 16 administrators from different universities' distance education centers in turkey and thematic analysis was applied to the data. the research found that administrators' motives for offering online academic degree programs mainly involve in answering to the high demand of prospective students. six major themes were identified with regard to influencing factors for administrators' motives: demands for programs mission to support education readiness of infrastructure teaching staff as well as applicability of content overcoming the shortage of classroom space and teachers obtaining revenue and gaining prestige.
2018;in this study the effect of web based power electronics courses on the success of electrical engineering candidates was examined. the participants are consisted of daytime education (30) and evening education (42) students who attended the power electronics course. first groups were randomly assigned as experimental and control groups and experimental group and control group were examined according to the students' gpas university entrance exam results academic grades depending on 8 different lectures related with power electronics. according to the results obtained from validity and reliability of power electronics course achievement test the total correlation values and the standard deviation values of power electronics course achievement test were between.301-.598 and between.304-.506 respectively. in addition kr20 coefficient was found as 0.844. before application of the power electronics course achievement test there was not a significant difference in total scores of both daytime and evening education students. although students received web-based education and web aided education were selected as experimental group the students received traditional education were selected as control group. after the application significant differences between the total grade points of both experimental and control groups of daytime education and evening education students were detected. (c) 2018 karabuk university. publishing services by elsevier b.v.
2018;participation in online communities is an increasing need for future language teachers and their professional development. through such participation they can experience and develop an awareness of the behaviors required to facilitate their future learners' participation in online learning. this article investigates participation interaction patterns and social presence (sp) levels of pre-service english as a foreign language (efl) teachers in online communication within a longitudinal blended learning setting. a secondary aim of this article is to explore social network analysis (sna) as an alternative method to measure sp. data analysis included calculation of number of forum entries and words qualitative analysis of interaction patterns content analysis and sna. the results indicated that an online course on tutoring skills and sp improved pre-service efl teachers' online participation skills. increased interaction and a more cohesive network were observed as the course progressed. the findings are significant in that they suggest a relationship between content analysis for sp (especially the interactive dimension) and sna measures (centrality influence and prestige) implicating sna as an emerging research method for the investigation of sp. this article concludes with future research perspectives and suggestions for efl teacher training.
2018;according to researches motivation that initiates and sustains behaviour is one of the most significant components of learning in any environment. accordingly level of intrinsic motivation triggers and sustains the interest of the open and distance education students when it comes to learning on their own in e-learning environments. despite a comprehensive literature regarding the motivation of those learning in traditional learning environments the number of studies addressing the motivation of open and distance education students in e-learning environments is not sufficient. in this context this study aims at determining the level of intrinsic motivation of open and distance education students. thus data were collected from 1639 distance education students in 22 programmes through intrinsic motivation in e-learning questionnaire developed and validated to that end. analyses carried out indicate that the level of intrinsic motivation of open and distance education students is high in e-learning environments but there is not a statistically significant difference by gender programme structure (graduate/undergraduate) instruction type (distance-blended) and academic disciplines.
2018;with the recent advances in information technologies learning management systems have taken on a significant role in providing educational resources. the successful use of these systems in higher education is important for the implementation management and continuous improvement of e-learning services to increase the quality of learning. this study aimed to identify the factors affecting higher education students' behavioral intention towards learning management systems. a research model was proposed based on the belief factors of the technology acceptance model namely perceived usefulness perceived ease-of-use and external factors including self-efficacy enjoyment subjective norm satisfaction and interactivity and control. then a self-reported questionnaire was distributed online. a total of 470 higher education students participated in the survey. the proposed structural model was assessed and validated using structural equation modeling in particular the partial least square method. the predictors of behavioral intention were identified as perceived usefulness perceived ease of use enjoyment subjective norm satisfaction and interactivity and control with the validated structural model. the relationships between the influencing factors provided an insight about the students' behavioral intention towards the use of learning management systems. it is expected that the academicians and practitioners will benefit from the design and findings of the current study in their future research.
2018;the purpose of this study was to reveal the students' perceptions on blended learning through the q method. the originality of the research stems from determining whether the students have a general tendency towards the blended learning process and evaluating the whole process through identifying its prominent components. the research data was compiled through the q-sort and the judgemental statements created by the researchers from 31 students attending the 3rd and 4th classes of the faculty of education during the 2016-2017 academic year. the data analysis ascertained that the students were in affirmative consensus on blended learning and the prominent components of the process were listed as teaching stair face-to-face classes student roles and the features of online course materials. the findings obtained were discussed within the frame of the relevant literature and the suggestions were made on blended course design.
2018;in the relevant literature it is often debated whether learning programming requires high-level thinking skills the lack of which consequently results in the failure of students in programming. the complex nature of programming and individual differences including study approaches thinking styles and the focus of supervision all have an effect on students' achievement in programming. how students learn programming and the relationships between their study approaches and their achievement in programming have not yet been adequately illuminated. in this regard the present study aims to investigate the effect of the study approach used on students' attitudes toward programming and on their academic achievement within an online problem-based learning environment. in this study a single-factor pretest posttest single group and semiempirical method was utilized. the study was conducted on 41 students from a public university in turkey. to implement problem-based learning activities a teaching environment was created with the moodle platform allowing for group work and discussions. seven status of the problems were prepared exclusively for the 12-week application period so that students could make suggestions about how to solve them. in the data collection phase the study approach scale the attitude towards programming scale and the academic achievement test were employed. t-test and covariance analyses were carried out in the statistical analysis phase. according to the findings of the present study students adopting the deep study approach were more successful than the students adopting a superficial approach. moreover it was determined that the problem-based learning application had a positive effect on students' attitudes toward programming and that the study approach did not significantly affect the students' attitude toward programming.
2018;objectives: as the adoption of robotic procedures becomes more widespread additional risk related to the learning curve can be expected. this article reports the results of a delphi process to define procedures to optimize robotic training of thoracic surgeons and to promote safe performance of established robotic interventions as for example lung cancer and thymoma surgery. methods: in june 2016 a working panel was spontaneously created by members of the european society of thoracic surgeons (ests) and european association for cardio-thoracic surgery (eacts) with a specialist interest in robotic thoracic surgery and/or surgical training. an e-consensus-finding exercise using the delphi methodology was applied requiring 80% agreement to reach consensus on each question. repeated iterations of anonymous voting continued over 3 rounds. results: agreement was reached on many points: a standardized robotic training curriculum for robotic thoracic surgery should be divided into clearly defined sections as a staged learning pathway the basic robotic curriculum should include a baseline evaluation an e-learning module a simulation-based training (including virtual reality simulation dry lab and wet lab) and a robotic theatre (bedside) observation. advanced robotic training should include e-learning on index procedures (right upper lobe) with video demonstration access to video library of robotic procedures simulation training modular console training to index procedure transition to full-procedure training with a proctor and final evaluation of the submitted video to certified independent examiners. conclusions: agreement was reached on a large number of questions to optimize and standardize training and education of thoracic surgeons in robotic activity. the production of the content of the learning material is ongoing.
2018;the purpose of the present study was to provide a comprehensive and descriptive review of the earlier research done on the refinement of the community of inquiry framework (garrison anderson & archer 2000 2001 2010) that has greatly influenced both research and practice in online education so far. to this end the current review included peer-reviewed journal articles only by handling them both individually and determining their common theoretical and methodological aspects. the results revealed that previous research produced very significant insights into the revision of the framework by producing four new presence types and seven presence dimensions. however there were some theoretical methodological and empirical gaps that need to be addressed in the future. specifically speaking these gaps ranged from addressing certain educational contexts to focusing on statistical significance only in some of earlier research. accordingly all the findings led to the conclusion that addressing the existing gaps in further research would enrich our understanding of the community of inquiry framework thereby adding to the contributions of previous revision studies done on it and positively impacting online learning research and practice.
2018;background: recommending effective minor ailment treatments and using non-prescription or over-the-counter (otc) medicines is a pharmacist's duty. although common in most european countries self-medication counseling practices may differ from country to country. objectives: this study explored turkish community pharmacists' attitudes concerning the present self-medication market professional responsibilities toward patients' self-care and the usefulness of e-learning for patients' counseling education. methods: the study was comprised of three phases: initially a document content analysis searched for relevant otc regulatory and/or practice frameworks secondly qualitative individual interviews on self-medication with purposively selected turkish community pharmacists were performed finally a focus group with practitioners and continuing education experts was conducted to deepen previous results. a thematic data analysis based on the attitudinal theory was conducted supported by maxqda v12 software. results: sixteen documental sources allowed the extraction of three initial main themes: self-medication classification of medicines and pharmacists' role. individual interviews outlined four themes that informed the focus group discussion which produced four new themes. themes and their codes reflected dissimilar practitioners' cognitions towards otcs otc usage and self-medication particularly if compared to other european conceptualizations. contradictory feelings towards the value of otcs for professional development e.g. patient counseling influenced by profit-based expectations were identified. conclusion: turkish community pharmacists and their minor ailments treatment competences have yet to thrive as a relevant professional intervention. there are risks of missing the best pharmacy practice standards thus losing their contribution to rational self-care. besides weakening the societal recognition of the profession to help individuals' everyday health decisions and well-being there might be a reduced active role in public health.
2018;the purpose of this study was to examine changes in the quality of science teachers' argumentation as a result of their engagement in a teacher workshop on earthquake engineering emphasizing distributed learning approaches which included concept mapping collaborative game playing and group lesson planning. the participants were ten high school science teachers from us high schools who elected to attend the workshop. to begin and end the teacher workshop teachers in small groups engaged in concept mapping exercises with other teachers. researchers audio-recorded individual teachers' argumentative statements about the inclusion of earthquake engineering concepts in their concept maps which were then analyzed to reveal the quality of teachers' argumentation. toulmin's argumentation model formed the framework for designing a classification schema to analyze the quality of participants' argumentative statements. while the analysis of differences in pre- and post-workshop concept mapping exercises revealed that the number of argumentative statements did not change significantly the quality of participants' argumentation did increase significantly. as these differences occurred concurrently with distributed learning approaches used throughout the workshop these results provide evidence to support distributed learning approaches in professional development workshop activities to increase the quality of science teachers' argumentation. additionally these results support the use of concept mapping as a cognitive scaffold to organize participants' knowledge facilitate the presentation of argumentation and as a research tool for providing evidence of teachers' argumentation skills.
2018;adaptive approaches within distance learning systems enable adapting teaching process to the needs of each learner during the learning process. this paper presents an algorithm for creating an adaptive learning process that provides knowledge and skills improvement for learners in the java programming language. also it presents the application of the tool that checks the learner's knowledge through solving practical tasks from the java programming language. the adaptive learning process in this work leads the learner through teaching materials and practical tasks where the acquired knowledge is required to be applied. also the algorithm based on the measurement of knowledge and time spent on a particular part of the learning process with detailed feedback and the demonstration of observed deficiencies directs the learner to teaching materials that allow improving the demonstrated knowledge. teaching materials are conceived as learning objects and as such allow for the application of adaptive approach. an analysis of the effectiveness of the algorithm and tool for practical knowledge testing from the java programming language was done with a test group of learners who gave their opinions and grades.
2018;technology diverts engineering education into learning management system for distance education activities. learning management system facilitates the management of education and training process including instructor-student student-student and student-content communication. nevertheless distance education has some disadvantages of not being able to establish active communication with students as in traditional education. this research offers a system which merges student emotion recognition with learning management system. this study aims to investigate the effects of merging student emotion recognition with learning management systems on learners' motivation and academic achievements. in this research the quasi-experimental design adopted 103 engineering students who were divided into three groups: the control group (participates in face-to-face education) the experimental group i (uses a system that merges emotion recognition with learning management system) and the experimental group ii (uses learning management system). as a result of the research it was found that the academic achievement and motivation of the experimental group i was significantly better than performance of the experimental ii and the control group.
2018;human-robot interaction hri is one of the most important research areas in robotics. a novel approach for hri on a robotic arm is proposed by using online teaching to eliminate the effect of tool inertia. the position error is reduced in repeated motion. a multi-axis f/t sensor is attached to denso robotic arm to measure six components of force and torque. a new controller structure is introduced by modifying the virtual spring control with tool inertia effect compensation. the human hand force and torque are transformed to the desired position/orientation (p/o) through the instantaneous matching between the direct human guidance and the robot response. the motions according to the experimental results have been compared with different teaching control variables. the results are shown significant improvement in teaching performance. the repeated motion errors are obviously reduced.
2018;in this brief we investigate online training of long short term memory (lstm) architectures in a distributed network of nodes where each node employs an lstm-based structure for online regression. in particular each node sequentially receives a variable length data sequence with its label and can only exchange information with its neighbors to train the lstm architecture. we first provide a generic lstm-based regression structure for each node. in order to train this structure we put the lstm equations in a nonlinear state-space form for each node and then introduce a highly effective and efficient distributed particle filtering (dpf)-based training algorithm. we also introduce a distributed extended kalman filtering-based training algorithm for comparison. here our dpf-based training algorithm guarantees convergence to the performance of the optimal lstm coefficients in the mean square error sense under certain conditions. we achieve this performance with communication and computational complexity in the order of the first-order gradient-based methods. through both simulated and reallife examples we illustrate significant performance improvements with respect to the state-of-the-art methods.
2018;the present study aims to investigate the effect of the thinking styles on students' attitudes toward problem based learning web based learning and academic achievement within an online problem-based learning environment. in this study a single-factor pre-test post-test single group and semi empirical pattern was utilized. the study was conducted on 41 students from a public university in turkey. to implement problem-based learning activities a teaching environment was designed with the moodle platform allowing for group work and discussions. six status of the problems were prepared exclusively for the 10-week application period so that students could make suggestions about how to solve them. in the data collection phase the scale of thinking styles the attitude toward problem based learning scale the attitude toward web based learning scale and the academic achievement test were employed. t-test and covariance analyses were carried out in the statistical analysis phase. according to the findings of the present study the elaborator and the extrovert students have a more positive view of problem based learning than the integrator and the introvert students. furthermore the elaborator and the innovative students have a more positive view of web based learning than the integrator and the traditionalist students. moreover it was determined that the elaborator and the innovative students were more successful than the integrator and the traditionalist students. as a result students' thinking styles are related to attitude and academic achievement.
2018;following theoretical frameworks including social-cognitive theory constructivism and creating collaborative learning community this correlational study elucidates the community of inquiry framework in regard to self-regulation metacognition and motivation in an online learning setting. data were collected from 1535 students enrolled to an online information and communication technology-i course offered by the department of informatics at a well-known public university. the data were collected online through survey monkey and then analyzed with descriptive and inferential statistics using multiple linear regression analysis through spss version 23 statistical software. the findings notably revealed that self-regulation metacognition and motivation significantly contributed to the prediction of community of inquiry and its three presence types. the findings highlighted the importance of self-regulation for overall community of inquiry and its three presence types due to its significantly valuable contribution. this study resulted in a new tentative model adding a new construct of regulatory presence addressing learners' self-regulation. further research could concentrate on this new tentative model in addition to the new construct.
2019;the student information system (sis) has increasingly gained popularity among universities for various reasons. however evaluating student's trust and satisfaction of the system are not fully investigated. in this research a sample of 634 students participated in the study from cyprus international university cyprus. the structural equation modelling (sem) technique was employed with amos 23 software to identify the trust and satisfaction of students' sis usage. the study model which include subjective norm image output quality result demonstrability perceived usefulness perceived ease of use trust and satisfaction was developed based on extended technology acceptance model (tam ii). results obtained from the analysis indicated that image output quality result demonstrability and perceived ease of use had a significant impact on perceived usefulness. trust was found to be significantly correlated with satisfaction however subjective norm perceived usefulness and perceived ease of use did not have a significant influence on satisfaction. furthermore the finding confirmed that several constructs in the tam ii that were important in previous studies were not significant in the sis. the students' behavior aspects are essential for the effective use of the system. it provides valuable information for university management in understanding the challenges of student's trust and satisfaction about sis usage.
2019;openness in education is an evolving concept which is shaped by the changing needs of societies cultures geographies and economies thus it does not have a precise definition. by focusing on four sets of generic keywords - open education open learning open educational resources (oers) and open educational practices (oeps) - this paper examines research in openness in education through a systematic review of peer reviewed literature. in doing so the researchers sought to draw attention to existing trends and patterns and possible future trajectories of openness in education. content analysis social network analysis and text-mining are the methods used for data collection and analysis. findings show that there has been growing interest on openness in education particularly on oers across different fields. findings also point to oeps as an emerging area of study which offers a fertile ground for future research. however on closer inspection a divide can be observed between the global north and global south in terms of research output.
2019;a wide variety of demand in e-learning and web-based learning caused a new approach in e-content presentation. in order to accomplish these demands learning object repositories (lors) were developed. lors have many learning objects (los) that are used to produce different types of e-content. when there are many los in lors the evaluation and selection of them become a subjective and time-consuming process. thus selecting the most suitable and best qualified lo is considered as a multi-criteria decision-making (mcdm) problem. in this study a hybrid analytic hierarchy process genetic algorithm (ahp-ga) method was developed for the evaluation of los from web-based intelligent learning object framework (zonesa) lor. this proposed hybrid system was used in a real case study and the results demonstrated that the proposed system can be used effectively by both users and machines to produce content by the help of lo metadata.
2019;background: this paper examines one ec-funded multinational project (rescap-med) with a focus on research capacity building (rcb) concerning non-communicable diseases (ncds) in the mediterranean middle east and north africa. by the project's end (2015) the entire region was engulfed in crisis. objective: designed before this crisis developed in 2011 the primary purpose of rescap-med was to foster methodological skills needed to conduct multi-disciplinary research on ncds and their social determinants. rescap-med also sought to consolidate regional networks for future collaboration and to boost existing regional policy engagement in the region on the ncd challenge. this analysis examines the scope and sustainability of rcb conducted in a context of intensifying political turmoil. methods: rescap-med linked two sets of activities. the first was a framework for training early- and mid-career researchers through discipline-based and writing workshops plus short fellowships for sustained mentoring. the second integrated public-facing activities designed to raise the profile of the ncd burden in the region and its implications for policymakers at national level. key to this were two conferences to showcase regional research on ncds and the development of an e-learning resource (netph). results: seven discipline-based workshops (with 113 participants) and 6 workshops to develop writing skills (84 participants) were held with 18 fellowship visits. the 2 symposia in istanbul and beirut attracted 280 participants. yet the developing political crisis tagged each activity with a series of logistical challenges none of which was initially envisaged. the immediacy of the crisis inevitably deflected from policy attention to the challenges of ncds. conclusions: this programme to strengthen research capacity for one priority area of global public health took place as a narrow window of political opportunity was closing. the key lessons concern issues of sustainability and the paramount importance of responsively shaping a context-driven rcb.
2019;the web content accessibility guidelines was developed by world wide web consortium with a goal of providing a single shared standard for web content accessibility that meets the needs of individuals organizations and governments. given that there is a large percentage of very small entities that develop software who also utilize the iso/iec software process standard the purpose of this study is the development of software design patterns for users with visual disabilities. as a result four accessibility design patterns are defined: authentication adapter blindness adapter dichromatic color vision adapter and blurry vision adapter. these patterns will help to improve the design of the web applications built using them while being compliant with the iso/iec 29110 standard. the use of design patterns also enables the transfer of design experience to programming practices and improves the software documentation. to validate the set of patterns an online course for spanish speakers was developed and the evaluation was carried out using simulators automated tools experts and users. simulators and automated tools showed no accessibility errors and experts evaluated 10 heuristics principles and did not identify any severity issues. taken together our results provide positive evidence that users with visual disabilities could benefit from the proposed features.
2019;objectiveusage of youtube as an educational tool is gaining attention in academic research. to date there has been no study on the content and quality of eye surgery videos on youtube. the aim of this study was to analyze youtube videos on phacoemulsification in eyes with small pupil.methodswe searched for the phrases small pupil cataract surgery small pupil phacoemulsification small pupil cataract surgery complications and small pupil phacoemulsification complications in january 2015. each resulting video was evaluated by all authors and krippendorff's alpha was calculated to measure agreement. videos were classified according to pupil size (small/very small) in the beginning of the surgery and whether pupillary diameter was large enough to continue surgery safely after pupillary dilation by the surgeon in the video (safe/not safe). methods of dilatation were also analyzed. any stated ocular comorbidity or surgical complications were noted.resultsa total of 96 videos were reviewed. no mechanical intervention for pupillary dilatation was performed in 46 videos. fifty-eight operated eyes had no stated ocular comorbidity. ninety-five operations ended successfully without major complication. there was fair agreement between the evaluators regarding pupil sizes (k=0.670) but poor agreement regarding safety (k=0.337).conclusionsyoutube videos on small pupil phacoemulsification have low complication rates when compared to the literature although no reliable mechanical dilatation methods are used in almost half of these videos. until youtube's place in e-learning becomes clearer we suggest that viewers be cautious regarding small pupil phacoemulsification videos on youtube.
2019;in an effort to understand trends in open and distance education more comprehensively this study aims to identify the research trends major concepts and cutoff points in the articles published between 2009 and 2016. from five major peer-reviewed journals a total of 989 articles were analyzed through a systematic literature review process using content analysis. the articles were coded based on the following three categories: level topics and sub-topics. the results indicated the followings: (1) emerged main themes in the articles were foundations of open and distance education instructional process and effects of applications (2) there was an upward growth in the publishing of the articles on massive open online courses open educational resources and students' perspectives (3) new pedagogical approaches and online learning design played a triggering role in the research topics and (4) technological and pedagogical developments between 2011 and 2012 had an influence on the tendency of the articles. in addition we explored cutoff points so that they may provide insights and valuable hints for researchers to design new studies in open and distance education field. discussions about the gaps in the state-of-the-art trends and directions about future research were also included.
2019;this study aims to examine 58 articles published in 8 educational technology journals under the social science citation index (ssci) between 2006 and 2016 containing augmented reality in their title and thereby to determine the trends of using augmented reality (ar) in education by the content analysis technique. in this period of time the total number of academic publications containing augmented reality in the web of science database in all indices was determined as 3540 and among these publications 58 articles with ssci index were analyzed within the scope of the research. it analyzes the change of articles related to ar by years the usage of methods and data collection tools education field educational advantages the type of applications used technologies assets used physical environments in which researches were carried out sensory types that applications address to countries and continents in which the articles were published and the keywords in these articles. findings obtained were visualized with tables and graphics. according to the results obtained from the findings there has been a sudden increase in the number of publications since 2013 and it reached the highest level in 2016 the most commonly used method is the mixed method and the data collection tool is questionnaire most of the studies are carried out in science tablets and smartphones are most used ar applications address to visual sense mostly and such articles are published mostly in the asian continent. it has been determined that the most positive effect of ar on education is for academic success and learning motivation. it has been understood that the ar is closely related to disciplines such as human-computer interaction robotics and remote laboratory systems. in addition some suggestions have been made to researchers and developers based on these research findings.
2019;this study aims to examine an e-learning system based on student perceptions through employing the information systems success model (is success model). the study is built on the assumption that system quality and information quality affect the system use and user satisfaction and in turn system success. the survey data was collected from 144 students who use an e-learning system at a public university in rome italy. the data was subject to pls path-modeling analysis via smart pls 3.0. the empirical results which are drawn from the students' self-reported perceptional evaluations about the e-learning system confirm that whereas system quality has significant impact on both system usage and user satisfaction information quality has significant impact only on user satisfaction. moreover the author also found that both user satisfaction and system usage have positive and significant impacts on system success.
